driver_id,vehicle_id,age,driving_experience_yr,past_claims,traffic_violations,vehicle_type,vehicle_age_yr,engine_cc,avg_speed_kmh,harsh_braking_per100km,rapid_accel_per100km,cornering_force_avg_g,speeding_pct,night_driving_pct,total_trips,avg_trip_km,trip_completeness_pct,unverified_trips,days_since_policy_start,onboarding_phase,risk_score,risk_category,risk_label
DRV0068,VEH0068,20,1,0,1,Hatchback,11,1800,75.0,9.11,4.32,0.502,22.4,11.8,55,30.6,45.8,6,99,1,0.7685,High Risk,2
DRV0069,VEH0069,41,17,2,1,Van,9,1000,39.7,16.52,12.52,0.072,1.2,24.1,49,12.2,54.2,7,118,1,0.789,High Risk,2
DRV0070,VEH0070,38,3,1,0,Sedan,5,800,55.9,4.46,14.41,0.432,7.1,29.8,67,42.6,79.5,7,52,0,0.4745,Medium Risk,1
DRV0071,VEH0071,59,1,0,0,SUV,3,1200,66.3,13.95,5.97,0.548,27.6,13.8,81,11.8,92.9,9,278,1,0.5533,Medium Risk,1
DRV0072,VEH0072,58,3,2,1,SUV,6,1000,47.0,15.08,1.95,0.122,29.7,25.4,15,8.6,55.7,12,274,1,0.7186,High Risk,2
DRV0073,VEH0073,47,25,0,1,Hatchback,2,1000,93.4,4.43,14.53,0.249,36.5,4.8,17,53.9,52.3,7,354,1,0.7475,High Risk,2
DRV0074,VEH0074,40,7,0,0,Hatchback,14,800,30.2,0.68,4.81,0.148,37.7,33.8,17,34.9,66.1,14,48,0,0.3444,Low Risk,0
DRV0075,VEH0075,41,10,0,0,Sedan,1,1800,76.5,17.55,14.68,0.384,14.0,1.0,79,25.5,97.0,4,242,1,0.5766,Medium Risk,1
DRV0076,VEH0076,21,0,1,0,Sedan,9,1500,51.7,3.9,3.62,0.174,38.1,5.3,13,5.9,87.7,7,256,1,0.3351,Low Risk,0
DRV0077,VEH0077,21,1,1,0,Hatchback,8,1200,72.8,16.41,12.5,0.359,0.5,11.7,39,22.3,60.9,9,156,1,0.5423,Medium Risk,1
DRV0078,VEH0078,60,8,0,0,Van,13,1400,47.0,3.18,7.62,0.285,4.0,31.6,52,14.9,93.4,8,3,0,0.3297,Low Risk,0
DRV0079,VEH0079,29,2,2,0,Sedan,15,1500,38.6,9.55,3.02,0.19,44.5,48.8,103,54.5,41.0,0,240,1,0.653,High Risk,2
DRV0080,VEH0080,38,11,0,1,Two-Wheeler,10,200,80.3,14.18,5.3,0.44,14.3,11.8,89,23.9,64.3,2,296,1,0.5109,Medium Risk,1
DRV0081,VEH0081,44,15,0,0,Sedan,11,1400,41.2,9.27,4.03,0.239,7.6,20.8,98,44.0,61.4,11,307,1,0.3373,Low Risk,0
DRV0082,VEH0082,23,4,2,0,SUV,5,2000,35.4,7.93,0.89,0.055,16.6,47.1,37,20.3,99.2,8,268,1,0.331,Low Risk,0
DRV0083,VEH0083,56,24,0,0,Sedan,15,2000,63.9,14.08,6.58,0.286,2.4,37.0,90,51.2,81.6,11,183,1,0.4776,Medium Risk,1
DRV0084,VEH0084,19,0,1,0,Hatchback,11,1000,57.0,17.31,2.48,0.305,16.5,6.5,67,21.0,72.7,3,78,0,0.455,Medium Risk,1
DRV0085,VEH0085,43,8,1,1,Sedan,4,1800,89.1,12.56,0.54,0.506,29.5,35.5,59,47.2,89.5,5,328,1,0.5688,Medium Risk,1
DRV0086,VEH0086,50,1,2,0,SUV,9,2000,53.0,4.21,8.59,0.489,4.4,4.3,27,41.9,90.9,3,303,1,0.3787,Medium Risk,1
DRV0087,VEH0087,37,0,3,2,Van,0,800,65.7,17.04,9.69,0.191,3.7,31.6,93,20.9,55.9,4,79,0,0.7506,High Risk,2
DRV0088,VEH0088,27,5,3,0,SUV,7,2000,92.5,4.29,10.72,0.54,14.8,9.7,64,6.3,79.8,4,251,1,0.5065,Medium Risk,1
DRV0089,VEH0089,46,2,1,1,Sedan,15,1500,41.2,15.91,9.81,0.089,34.6,35.8,18,21.9,64.1,4,253,1,0.6029,Medium Risk,1
DRV0090,VEH0090,60,24,0,0,Van,6,1200,86.4,0.73,15.01,0.531,0.8,33.0,106,52.4,65.7,8,198,1,0.4575,Medium Risk,1
DRV0091,VEH0091,56,33,0,1,Two-Wheeler,9,125,47.9,16.87,9.88,0.098,38.6,0.9,56,27.0,48.3,3,316,1,0.6909,High Risk,2
DRV0092,VEH0092,60,25,1,1,Van,4,1200,47.4,12.26,5.68,0.439,29.4,29.1,39,49.7,94.3,13,329,1,0.5711,Medium Risk,1
DRV0093,VEH0093,50,22,1,0,Two-Wheeler,6,100,52.3,3.84,14.08,0.493,34.1,31.0,18,25.0,81.1,5,258,1,0.5689,Medium Risk,1
DRV0094,VEH0094,29,5,1,0,Hatchback,15,1800,65.1,6.96,4.23,0.248,40.9,37.6,27,30.6,73.8,15,243,1,0.5062,Medium Risk,1
DRV0095,VEH0095,40,3,1,0,Hatchback,5,1800,51.5,4.97,12.71,0.206,29.1,27.5,40,23.2,62.3,14,223,1,0.4748,Medium Risk,1
DRV0096,VEH0096,24,2,1,0,Sedan,5,2000,68.2,15.18,2.85,0.191,18.9,39.4,26,33.8,44.4,8,249,1,0.7171,High Risk,2
DRV0097,VEH0097,25,2,0,0,Two-Wheeler,2,150,56.2,16.05,8.44,0.309,3.6,40.2,58,17.6,57.3,13,232,1,0.7585,High Risk,2
DRV0098,VEH0098,46,10,0,1,Two-Wheeler,4,160,68.7,11.28,12.23,0.443,18.8,27.5,25,16.0,45.7,2,334,1,0.8257,High Risk,2
DRV0099,VEH0099,49,13,0,1,Two-Wheeler,11,100,70.5,17.75,14.73,0.185,35.5,41.1,94,20.7,56.7,13,49,0,0.7166,High Risk,2
DRV0100,VEH0100,30,9,1,1,Sedan,8,1500,83.2,14.26,14.9,0.348,37.2,15.2,57,54.3,86.2,11,208,1,0.7048,High Risk,2
DRV0101,VEH0101,31,11,0,0,Sedan,1,1400,54.7,2.94,3.86,0.105,15.4,24.1,53,50.6,92.4,5,212,1,0.2361,Low Risk,0
DRV0102,VEH0102,34,12,0,1,Hatchback,6,1000,86.8,12.5,11.41,0.424,39.1,35.3,63,42.7,72.5,0,236,1,0.6786,High Risk,2
DRV0103,VEH0103,42,23,1,1,SUV,2,1000,48.0,0.83,12.91,0.232,7.3,33.4,13,29.1,60.3,15,158,1,0.3904,Medium Risk,1
DRV0104,VEH0104,28,2,0,2,Hatchback,4,1500,94.9,11.07,13.05,0.389,4.8,9.5,41,35.2,40.1,4,7,0,0.7864,High Risk,2
DRV0105,VEH0105,41,10,0,0,Hatchback,6,800,57.4,16.39,7.89,0.131,37.3,32.8,15,5.6,89.5,14,323,1,0.5674,Medium Risk,1
DRV0106,VEH0106,41,18,3,0,Hatchback,6,800,49.9,0.88,12.06,0.437,13.0,34.6,10,20.8,62.4,7,171,1,0.4658,Medium Risk,1
DRV0107,VEH0107,28,1,0,0,SUV,1,2000,93.1,17.13,9.09,0.097,36.0,9.6,62,9.9,99.3,0,243,1,0.5279,Medium Risk,1
DRV0108,VEH0108,29,10,2,1,Two-Wheeler,10,200,31.0,12.48,2.1,0.337,14.9,43.7,32,20.1,98.2,11,289,1,0.5004,Medium Risk,1
DRV0109,VEH0109,37,6,1,0,Hatchback,0,1400,49.3,12.82,3.37,0.522,5.7,15.4,81,40.3,55.6,7,294,1,0.7557,High Risk,2
DRV0110,VEH0110,36,16,1,2,Van,13,1000,37.5,9.23,15.98,0.14,8.3,30.5,58,32.4,89.9,14,220,1,0.5379,Medium Risk,1
DRV0111,VEH0111,47,14,0,2,Sedan,0,1200,63.5,8.69,11.7,0.191,40.4,7.3,37,40.2,71.5,7,86,0,0.525,Medium Risk,1
DRV0112,VEH0112,49,20,2,0,Two-Wheeler,15,100,94.2,9.17,7.89,0.378,44.4,24.5,80,43.6,67.0,15,308,1,0.6337,High Risk,2
DRV0113,VEH0113,18,0,1,0,Van,15,1200,83.0,11.86,0.99,0.414,16.1,46.1,53,20.0,59.2,3,245,1,0.8258,High Risk,2
DRV0114,VEH0114,50,28,3,1,Hatchback,0,1000,35.6,6.55,13.01,0.265,26.7,23.9,23,40.1,67.5,13,53,0,0.5335,Medium Risk,1
DRV0115,VEH0115,55,13,1,0,Two-Wheeler,12,125,42.3,16.16,5.18,0.531,15.3,9.2,106,36.0,85.4,11,260,1,0.536,Medium Risk,1
DRV0116,VEH0116,53,31,2,0,Hatchback,5,2000,41.5,8.5,0.5,0.408,21.2,31.0,47,6.6,43.3,14,21,0,0.7915,High Risk,2
DRV0117,VEH0117,38,9,2,0,Hatchback,4,1800,34.0,16.89,3.97,0.426,5.5,35.7,62,28.7,55.3,6,130,1,0.7363,High Risk,2
DRV0118,VEH0118,32,0,1,2,Hatchback,11,1500,49.2,5.57,3.63,0.479,33.0,32.3,92,15.9,77.6,8,78,0,0.5293,Medium Risk,1
DRV0119,VEH0119,23,2,0,1,SUV,14,800,64.1,14.87,1.38,0.335,35.9,12.6,24,14.9,90.6,9,105,1,0.5254,Medium Risk,1
DRV0120,VEH0120,22,3,0,0,Sedan,9,1800,56.0,16.87,8.96,0.166,28.9,11.2,88,38.7,54.7,10,81,0,0.8435,High Risk,2
DRV0121,VEH0121,60,30,1,1,Sedan,11,1000,76.1,7.25,0.76,0.168,44.8,8.1,55,42.9,74.1,13,37,0,0.4254,Medium Risk,1
DRV0122,VEH0122,25,1,2,1,Van,10,2000,87.9,16.74,2.05,0.363,26.7,2.5,23,49.3,86.4,3,346,1,0.5477,Medium Risk,1
DRV0123,VEH0123,22,2,2,1,Two-Wheeler,2,110,56.0,13.22,0.93,0.127,4.0,41.1,114,35.7,52.0,1,165,1,0.767,High Risk,2
DRV0124,VEH0124,43,17,1,0,Hatchback,6,1800,94.9,14.63,10.85,0.085,41.3,26.3,118,19.8,64.3,0,154,1,0.5929,Medium Risk,1
DRV0125,VEH0125,41,13,1,1,Hatchback,1,1400,79.6,13.83,14.31,0.466,4.3,32.5,93,14.9,92.1,12,276,1,0.6346,High Risk,2
DRV0126,VEH0126,43,11,3,0,Hatchback,6,1200,57.9,2.54,7.64,0.529,8.7,17.7,26,26.0,58.4,13,289,1,0.7662,High Risk,2
DRV0127,VEH0127,36,4,0,0,Hatchback,2,1200,73.2,1.28,7.47,0.381,29.2,42.2,82,33.4,44.4,4,365,1,0.7864,High Risk,2
DRV0128,VEH0128,46,26,1,1,Van,13,1400,56.5,4.93,4.91,0.234,37.0,7.2,29,15.2,58.0,14,319,1,0.8022,High Risk,2
DRV0129,VEH0129,24,0,1,0,Van,11,1400,32.2,3.05,1.15,0.078,37.7,38.7,116,7.8,65.8,9,336,1,0.3284,Low Risk,0
DRV0130,VEH0130,41,2,1,0,Two-Wheeler,3,200,38.6,15.84,7.2,0.129,28.4,22.5,84,42.7,83.2,11,275,1,0.4947,Medium Risk,1
DRV0131,VEH0131,35,7,0,0,Van,15,800,88.7,4.36,10.47,0.547,30.6,36.4,112,5.7,82.7,14,225,1,0.589,Medium Risk,1
DRV0132,VEH0132,31,11,0,2,Sedan,13,2000,58.1,12.57,8.22,0.547,30.1,30.8,92,14.1,74.7,13,102,1,0.673,High Risk,2
DRV0133,VEH0133,45,20,0,1,Hatchback,9,800,37.9,14.17,8.08,0.139,11.3,26.7,111,48.2,52.3,12,162,1,0.6723,High Risk,2
DRV0134,VEH0134,23,3,1,1,Hatchback,8,1500,38.4,5.21,10.29,0.347,31.9,46.7,120,50.5,91.2,3,148,1,0.5432,Medium Risk,1
DRV0135,VEH0135,42,9,1,1,Hatchback,4,800,53.9,14.64,3.65,0.283,41.7,30.9,84,13.9,79.9,14,308,1,0.5856,Medium Risk,1
DRV0136,VEH0136,50,9,3,2,SUV,10,1800,70.7,1.13,8.53,0.507,9.2,18.3,103,48.9,49.8,0,29,0,0.8196,High Risk,2
DRV0137,VEH0137,44,20,1,1,Two-Wheeler,0,160,52.7,1.43,1.33,0.13,23.5,20.6,34,45.5,44.7,14,223,1,0.7321,High Risk,2
DRV0138,VEH0138,31,1,1,0,SUV,13,1400,61.7,7.38,11.15,0.212,25.7,8.5,86,25.4,70.4,0,174,1,0.4439,Medium Risk,1
DRV0139,VEH0139,36,6,0,1,SUV,11,2000,93.6,14.13,12.57,0.261,14.7,31.5,59,36.0,50.7,6,296,1,0.7356,High Risk,2
DRV0140,VEH0140,25,5,0,0,Sedan,5,1000,85.5,14.4,5.71,0.42,1.9,23.6,86,22.1,72.7,10,94,1,0.4746,Medium Risk,1
DRV0141,VEH0141,45,15,3,1,Two-Wheeler,15,160,92.0,2.04,9.78,0.26,22.8,16.8,32,12.9,51.7,14,177,1,0.7886,High Risk,2
DRV0142,VEH0142,52,25,3,1,Van,3,2000,86.5,15.22,12.82,0.075,19.4,9.6,109,32.8,73.1,1,299,1,0.5606,Medium Risk,1
DRV0143,VEH0143,41,19,0,0,Hatchback,4,1400,61.9,4.27,6.05,0.37,43.2,19.5,108,30.2,89.2,4,89,0,0.4428,Medium Risk,1
DRV0144,VEH0144,50,12,3,1,Hatchback,0,1200,46.3,8.89,8.72,0.432,43.2,26.7,11,38.9,93.7,2,24,0,0.6133,Medium Risk,1
DRV0145,VEH0145,58,12,1,1,SUV,12,1000,90.4,5.5,5.01,0.126,36.0,5.5,29,11.9,50.2,6,333,1,0.7176,High Risk,2
DRV0146,VEH0146,47,23,0,0,Hatchback,3,1800,47.7,17.22,2.81,0.476,34.1,34.9,118,20.1,61.5,15,175,1,0.5961,Medium Risk,1
DRV0147,VEH0147,42,21,1,0,Hatchback,7,1500,46.1,15.1,13.47,0.11,12.1,34.7,48,43.8,72.7,13,125,1,0.5373,Medium Risk,1
DRV0148,VEH0148,28,8,0,0,SUV,13,1500,40.2,13.67,6.01,0.269,29.5,36.3,104,40.8,62.6,11,299,1,0.5288,Medium Risk,1
DRV0149,VEH0149,20,1,1,0,Sedan,1,1500,59.8,15.48,10.72,0.124,39.0,3.9,112,43.6,98.8,7,353,1,0.5331,Medium Risk,1
DRV0150,VEH0150,26,3,0,0,Sedan,0,1800,64.3,4.89,0.69,0.122,36.5,17.4,34,22.8,99.3,10,226,1,0.2977,Low Risk,0
DRV0151,VEH0151,43,6,0,1,Hatchback,12,1200,29.3,10.24,8.76,0.168,33.7,2.9,88,20.6,54.2,8,314,1,0.7895,High Risk,2
DRV0152,VEH0152,37,6,0,0,Two-Wheeler,5,100,51.3,14.76,7.69,0.102,41.4,35.6,39,48.5,89.2,0,355,1,0.5313,Medium Risk,1
DRV0153,VEH0153,48,22,0,2,SUV,1,1500,46.3,15.43,7.32,0.52,18.8,46.3,40,8.7,53.4,3,342,1,0.7434,High Risk,2
DRV0154,VEH0154,52,16,1,0,Hatchback,9,1200,80.5,0.74,8.72,0.259,36.2,18.6,56,10.3,77.6,1,141,1,0.4108,Medium Risk,1
DRV0155,VEH0155,18,0,0,1,Sedan,9,1400,38.6,17.23,13.72,0.063,16.4,42.8,91,5.3,89.1,14,139,1,0.592,Medium Risk,1
DRV0156,VEH0156,45,2,0,0,SUV,2,1500,36.6,12.25,1.57,0.073,39.8,12.1,86,44.1,54.4,15,29,0,0.685,High Risk,2
DRV0157,VEH0157,21,2,3,1,Sedan,10,1800,85.9,6.91,1.32,0.068,16.6,7.7,83,34.8,50.5,5,201,1,0.7364,High Risk,2
DRV0158,VEH0158,50,1,0,0,Sedan,15,1000,60.6,8.07,8.3,0.175,7.0,17.9,57,21.5,81.8,7,335,1,0.3625,Medium Risk,1
DRV0159,VEH0159,43,16,0,0,Hatchback,10,800,39.8,3.75,6.14,0.344,37.2,35.7,27,9.8,44.6,7,243,1,0.8053,High Risk,2
DRV0160,VEH0160,33,5,1,2,Two-Wheeler,7,150,70.4,13.3,0.78,0.501,18.8,38.1,108,53.5,77.2,13,300,1,0.5765,Medium Risk,1
DRV0161,VEH0161,37,7,3,0,Sedan,7,1000,81.3,1.95,0.73,0.378,38.2,19.0,17,30.6,47.6,1,130,1,0.8353,High Risk,2
DRV0162,VEH0162,28,2,2,0,SUV,2,1400,54.7,6.13,1.88,0.248,36.4,23.9,58,32.7,93.3,14,223,1,0.4088,Medium Risk,1
DRV0163,VEH0163,57,13,0,0,Hatchback,11,1800,77.0,9.66,7.15,0.258,4.8,28.9,86,28.3,53.4,10,75,0,0.8145,High Risk,2
DRV0164,VEH0164,61,5,1,1,Hatchback,12,1800,53.0,9.44,9.71,0.109,22.8,49.0,19,14.0,66.3,2,68,0,0.5153,Medium Risk,1
